Time,dx,dy
437.691199311,-8.060287,-0.8705641
437.944675885,17.459696,-4.0645804
438.2029607,2.084214,8.241297
438.463142478,-21.51574,-10.67162
438.71969794,8.281517,-9.7512
438.969971348,27.615215,8.9411
439.222334885,18.894917,-0.12576549
439.48055231,19.69804,-0.9574053
439.741316699,7.0590873,-8.118995
439.989697977,20.158205,-1.8795227
440.243511754,6.7033854,-0.71026635
440.509297736,2.156958,-0.1370809
440.757915624,-14.883337,-1.78504
441.013890772,-19.36239,0.7935707
441.268956328,-11.235506,0.39271063
441.528574217,-10.482632,-0.25640538
441.778408661,-20.14588,-1.0437961
442.037385939,-13.784364,-0.5178474
442.293485494,-11.262118,-0.71298724
442.545367697,-20.045736,-3.9556148
442.802899031,-16.309853,-0.89199424
443.062056419,-21.21687,-4.923997
443.318701512,-16.469744,0.14658737
443.576288493,-12.769913,0.9390531
443.824752178,-21.288933,-2.0798078
444.081067271,-44.310444,-2.1534767
444.340932437,5.699694,1.1005515
444.594002585,22.599817,1.4104352
444.848604844,20.198097,-12.750179
445.111142751,21.526232,5.5484796
445.361892492,23.463121,1.736578
445.615606585,11.572166,-0.2356755
445.871825566,14.597081,0.36806297
446.128293066,8.065215,0.33019224
446.387978325,10.301755,0.14300251
446.65646438,18.359663,-0.09658432
446.897710102,18.853086,0.42662144
447.150657065,18.27492,0.92108566
447.407567898,20.122759,3.1618812
447.665464565,20.84337,0.4831575
